complete_address,city,price_total,price,rent,rent_sqm,sqm,is_furnished,coords,travel_time
"Sączów, Bobrowniki, będziński, śląskie","będziński, śląskie",3500.0,3500.0,,38.89,90.0,True,"(50.4218598, 19.0328737)",11
"Siewierz, Siewierz, będziński, śląskie","będziński, śląskie",2450.0,2000.0,450.0,70.0,35.0,True,"(50.47924, 19.2374613)",20
"ul. Zabrska, Śródmieście, Katowice, śląskie","Katowice, śląskie",3000.0,2600.0,400.0,75.0,40.0,True,"(50.2576071, 19.0171456)",38
"ul. Katowicka, Bogucice, Katowice, śląskie","Katowice, śląskie",2550.0,1700.0,850.0,54.26,47.0,True,"(50.2576071, 19.0171456)",38
"ul. Polarna, Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",1500.0,1150.0,350.0,83.33,18.0,True,"(50.2576071, 19.0171456)",38
"ul. Kielecka, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",2300.0,1850.0,450.0,63.89,36.0,True,"(50.27895, 19.1263859)",35
"ul. Mariacka, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2502.0,2100.0,402.0,62.55,40.0,True,"(50.27895, 19.1263859)",35
"ul. Katowicka, Mysłowice, śląskie","Mysłowice, śląskie",1350.0,1350.0,,30.68,44.0,True,"(50.2171942, 19.1235153)",36
"ul. 21 Listopada, Czeladź, będziński, śląskie","będziński, śląskie",620.0,620.0,,22.96,27.0,False,"(50.31724945, 19.138881491319484)",32
"ul. Francuska, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",4000.0,3200.0,800.0,65.57,61.0,True,"(50.2576071, 19.0171456)",38
"ul. Uniwersytecka, Śródmieście, Katowice, śląskie","Katowice, śląskie",1550.0,1200.0,350.0,77.5,20.0,True,"(50.2576071, 19.0171456)",38
"Bytków, Siemianowice Śląskie, śląskie","Siemianowice Śląskie, śląskie",2170.0,1800.0,370.0,57.11,38.0,True,"(50.304986, 19.003470627946392)",30
"ul. Piastów, Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",3015.0,2500.0,515.0,51.1,59.0,True,"(50.2576071, 19.0171456)",38
"ul. Adama Śliwki, Niwka, Sosnowiec, śląskie","Sosnowiec, śląskie",2190.0,1690.0,500.0,62.57,35.0,True,"(50.27895, 19.1263859)",35
"ul. Kalinowa, Dańdówka, Sosnowiec, śląskie","Sosnowiec, śląskie",1600.0,1600.0,,32.65,49.0,True,"(50.27895, 19.1263859)",35
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",1950.0,1450.0,500.0,52.7,37.0,True,"(50.2727182, 18.9824049)",41
"ul. Szybowcowa, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2850.0,2400.0,450.0,71.25,40.0,True,"(50.2576071, 19.0171456)",38
"ul. Powstańców, Śródmieście, Katowice, śląskie","Katowice, śląskie",2330.0,1650.0,680.0,93.2,25.0,True,"(50.2576071, 19.0171456)",38
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2800.0,2800.0,,73.68,38.0,True,"(50.2727182, 18.9824049)",41
"ul. gen. Henryka Dąbrowskiego, Centrum, Chorzów, śląskie","Chorzów, śląskie",1650.0,1650.0,,55.0,30.0,True,"(50.2537455, 18.9383126)",40
"ul. gen. Józefa Sowińskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",1870.0,1400.0,470.0,60.32,31.0,True,"(50.2576071, 19.0171456)",38
"Dębowe Tarasy, Dąb, Katowice, śląskie","Katowice, śląskie",2530.0,2150.0,380.0,79.06,32.0,True,"(50.2576071, 19.0171456)",38
"Będzin, będziński, śląskie","będziński, śląskie",1501.0,1500.0,1.0,50.03,30.0,True,"(50.3089738, 19.14141)",30
"ul. Stanisława Witczaka, Śródmieście, Bytom, śląskie","Bytom, śląskie",1800.0,1800.0,,40.91,44.0,True,"(50.342812, 18.9120743)",31
"ul. Sokolska, Koszutka, Katowice, śląskie","Katowice, śląskie",3250.0,2700.0,550.0,73.86,44.0,True,"(50.2576071, 19.0171456)",38
"ul. Marcina Kasprzaka 84, Tworzeń, Gołonóg Wschodni, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",751.0,750.0,1.0,21.46,35.0,True,"(50.330374, 19.1848234)",32
"Klimzowiec, Centrum, Chorzów, śląskie","Chorzów, śląskie",2089.0,1590.0,499.0,56.46,37.0,False,"(50.2859309, 18.9536203)",40
"ul. Stanisława Moniuszki, Śródmieście, Katowice, śląskie","Katowice, śląskie",1689.0,1299.0,390.0,76.77,22.0,True,"(50.2576071, 19.0171456)",38
"ul. Graniczna, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2001.0,2000.0,1.0,35.73,56.0,True,"(50.2576071, 19.0171456)",38
"ul. Zakładowa 5, Poręba, zawierciański, śląskie","zawierciański, śląskie",2100.0,1500.0,600.0,61.76,34.0,True,"(50.5775652, 19.3412388)",42
"ul.Widok, Dąb, Katowice, śląskie","Katowice, śląskie",2325.0,1700.0,625.0,59.62,39.0,True,"(50.2576071, 19.0171456)",38
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1950.0,1500.0,450.0,62.9,31.0,False,"(50.259795, 19.0217063)",37
"ul. Piastów Bytomskich, Śródmieście, Bytom, śląskie","Bytom, śląskie",1950.0,1300.0,650.0,54.17,36.0,True,"(50.342812, 18.9120743)",31
"ul. Wierzbowa 26, Koszutka, Katowice, śląskie","Katowice, śląskie",2690.0,1990.0,700.0,64.05,42.0,True,"(50.2576071, 19.0171456)",38
"Śródmieście, Katowice, śląskie","Katowice, śląskie",1980.0,1650.0,330.0,94.29,21.0,True,"(50.259795, 19.0217063)",37
"al. Zwycięstwa, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2240.0,1790.0,450.0,67.88,33.0,True,"(50.27895, 19.1263859)",35
"ul. Zofii Nałkowskiej, Janów-Nikiszowiec, Katowice, śląskie","Katowice, śląskie",2100.0,1700.0,400.0,63.64,33.0,True,"(50.2576071, 19.0171456)",38
"ul. Karola Miarki, Chorzów II, Chorzów, śląskie","Chorzów, śląskie",2540.0,1600.0,940.0,49.8,51.0,True,"(50.2537455, 18.9383126)",40
"Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1750.0,1750.0,,38.89,45.0,True,"(50.330374, 19.1848234)",32
"Śródmieście, Katowice, śląskie","Katowice, śląskie",2701.0,2700.0,1.0,47.39,57.0,True,"(50.259795, 19.0217063)",37
"ul. Marii Konopnickiej, Będzin, będziński, śląskie","będziński, śląskie",2142.0,1600.0,542.0,54.92,39.0,True,"(50.31724945, 19.138881491319484)",32
"ul. Katowicka, Bogucice, Katowice, śląskie","Katowice, śląskie",2550.0,1700.0,850.0,54.26,47.0,True,"(50.2576071, 19.0171456)",38
"ul. Polarna, Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",1500.0,1150.0,350.0,83.33,18.0,True,"(50.2576071, 19.0171456)",38
