link,title,location,price,summary_description,square_meters,rent,number_of_rooms,deposit,floor_level,building_type,available_from,balcony_garden_terrace,remote service,completion,ownership,rent_to_students,equipment,media_types,heating,security,windows,elevator,parking_space,build_year,building_material,additional_information
https://www.otodom.pl/pl/oferta/duze-przestronne-mieszkanie-po-remoncie-ogrod-ID4pk8u,Duże przestronne mieszkanie po remoncie Ogród,"Sączów, Bobrowniki, będziński, śląskie",3 500 zł,"Duże, przestronne mieszkanie o powierzchni 90 m kw. usytuowane na pierwszym piętrze domu jednorodzinnego, znajdującego się w malowniczej miejscowości Sączów. Piękna okolica i świetna lokalizacja! 

Mieszkanie jest świeżo po remoncie (wymienione wszytskie okana w domu, wymieniony piec na gazowy, wszytskie pokoje odmalowane,wycyklinowane podłogi, nowa łazienka!)

Mieszkanie swoim układzie mieści:
- trzy pokoje (salon, syialnie, pokoj dziecięcy),- kuchnię połączona z jadalnią,- łazienkę razem z WC,- przedpokój.

​Mieszkanie umeblowane, na podłodze parkiet, na ścianach gładzie, w przedpokoju sufit podwieszany z halogenami. Kuchnia wyposazona w lodówkę, płyte gazową, piekarnik, zmywarkę. 

Bardzo mili i pomocni Sąsiedzi :) Dla miłośników ogrodnictwa-możliwość stworzenia własnej działki z warzywami :) 

W cenie miejsce garażowe oraz możliwość korzystania z ogrodu, altanki, placu zabaw. 

W pobliżu park w Świerklancu. Blisko bardzo dobre przedszkola i szkoły.
Świetna komunikacja z pobliskimi miastami : Będzin, Sosnowiec, Katowice, Piekary Ślaskie, Tarnowskie Góry, Siewierz, Częstochowa etc.

Opłaty:
Czynsz wynosi 3500zł plus media według zużycia.

Zachęcam do kontaktu i prezentacji!

Большая, просторная квартира площадью 90 кв.м, расположенная на первом этаже одноквартирного дома, расположенного в живописном городке Сончув. Красивое окружение и прекрасное расположение!

Квартира в своей планировке включает:
- три комнаты,
- кухня, соединенная со столовой,
- ванная с туалетом,
- Зал.

Меблированная квартира, на полу паркет, На кухне есть холодильник, газовая плита, духовка, посудомоечная машина. Квартира готова к заселению примерно с 24.02.

Очень приятные и отзывчивые соседи. Для любителей садоводства - возможность создания собственного участка с овощами. В цену входит большой подвал, место в гараже.

Возможность использовать сад, беседку, детскую площадку. Рядом находится парк в Сверкланце. Рядом детский сад и школа. Очень хорошее сообщение с близлежащими городами: Бендзин, Сосновец, Катовице, Пекары Сласки, Тарновские Горы, Севеж, Ченстохова и др. Сборы:

Арендная плата составляет 3500 злотых плюс коммунальные платежи в зависимости от потребления.",90 m²,,4,6 000 zł,1,dom wolnostojący,,"balkon, ogródek",Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",internet,gazowe,teren zamknięty,plastikowe,nie,garaż/miejsce parkingowe,brak informacji,brak informacji,"tylko dla niepalących, oddzielna kuchnia"
https://www.otodom.pl/pl/oferta/komfortowe-m2-z-podwyzszonym-standardem-ID4pk55,"Komfortowe, M2 z podwyższonym standardem","Siewierz, Siewierz, będziński, śląskie",2 000 zł,"Do wynajęcia oferuję 2 pokojowe mieszkanie z tarasem w Miasteczku Siewierz Jeziorna.
Mieszkanie o pow. 35 m2 składa się z przedpokoju, pokoju dziennego połączonego z aneksem kuchennym, osobnej sypialni i łazienki z WC. Mieszkanie jest wykończone z wysokiej jakości materiałów oraz w pełni umeblowane i wyposażone w niezbędny sprzęt AGD. 
Istnieje również możliwość wynajęcia komórki lokatorskiej w sąsiednim budynku - dodatkowo płatnej w cenie 200zł/mce.
W okolicy znajdują się najważniejsze usługi i piękne tereny rekreacyjne, osiedle sąsiaduje z zalewem Przeczycko-Siewierskim. Lokalizacja zapewnia dobrą komunikację ze wszystkimi miastami aglomeracji śląskiej. Łatwy dojazd do głównych węzłów drogowych.
Czynsz najmu 2000 zł/m-c mieszkanie + 550zł/m-c (zaliczka na wodę, prąd, śmieci, ścieki, ogrzewanie, opłaty adm.) Komórka lokatorska dodatkowo płatna 200 zł/m-c. Wymagana kaucja zabezpieczająca w wysokości 4 000 zł.Mieszkanie dostępne od 1.04.2024r.",35 m²,450 zł/miesiąc,2,4 000 zł,3/3,blok,,taras,Obsługa zdalnatak,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,gazowe,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",plastikowe,nie,brak informacji,2020,pustak,"klimatyzacja, oddzielna kuchnia"
https://www.otodom.pl/pl/oferta/prestizowa-dzielnica-elegancki-od-wlasciciela-ID4pez8,Prestiżowa dzielnica. Elegancki. Od właściciela.,"ul. Zabrska, Śródmieście, Katowice, śląskie",2 600 zł,"Bardzo atrakcyjne mieszkanie typu STUDIO w doskonalej lokalizacji i z super widokiem na najpiękniejsze, nowoczesne centrum biurowe na zbiegu ul. Mickiewicza i ul. Sobieskiego. Mieszkanie po remoncie. Do dowolnej aranżacji. Oferta właściciela. Bez prowizji. Lokal w kamienicy z windą. Idealna lokalizacja w promieniu 5-7 minut wszystkie najważniejsze biurowce, banki, dworzec kolejowy, autobusowy i obiekty kultury. Łatwy i szybki wyjazd na autostradę. mieszkanie daje wiele możliwości aranżacyjnych. Aktualnie jest mały aneks kuchenny i łazienka z prysznicem. W zależności od potrzeb klienta można dowolnie zaaranżować.

Attractive studio apartment in great location with a beautiful view of the modern office center. Apartment in a tenement hous with an elevator, on the 3rd floor. Owner's offer, without commission. Katowice center. To the railway station and most importent facilities 5-7 min.",40 m²,400 zł/miesiąc,2,5 000 zł,3/5,kamienica,,,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,tak,meble,"telewizja kablowa, internet, telefon",gazowe,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,brak informacji,1900,inny,piwnica
https://www.otodom.pl/pl/oferta/mieszkanie-w-super-lokalizacji-po-remoncie-47m2-ID4plfk,Mieszkanie w super lokalizacji po remoncie - 47m2,"ul. Katowicka, Bogucice, Katowice, śląskie",1 700 zł,"Pośrednikom z góry dziękuje !
Kontakt 697035167

Lokum posprzątane po remoncie i gotowe do przyjęcia nowych lokatorów nawet jutro:)

Mieszkanie w centrum Katowic z dodatkową opcja garażu !!

Mieszkanie położone jest na ulicy Katowickiej w Katowicach.
Po remoncie - bądź pierwszym najemcą! Świetna lokalizacja - w okolicy przychodnie, szkoły , przedszkole, przystanek autobusowy , tramwajowy, sklepy.
Spodek 450 m
Rynek 1300 m
Dodatkowym atutem jest świetny widok na panoramę Koszutki.
Mieszkanie umeblowane składające się z przedpokoju , łazienki , kuchni , salonu, sypialni i małego pokoju. Bardzo pojemna przytulna kuchnia, drewniane podłogi.

Posiada wszystkie niezbędne sprzęty : pralkę, lodówkę, zmywarkę, kuchenkę z piekarnikiem, TV 55 cali.

W dwóch pokojach nowe kanapy - w sypialni nowy materac IKEA.

Winda w bloku , w nocy portier. Dostępna piwnica - kwestia opróżnienia - oczywiście po mojej stronie.

W czynszu zawarta jest zaliczka na wodę (ciepła woda z sieci ) oraz centralne ogrzewanie.
Koszty związane z wywozem śmieci uzależnione są od ilości zamieszkujących osób.

Opcja dodatkowa jest wynajęcie garażu w atrakcyjnej cenie znajdującego się 10 minut pieszo od mieszkania. 
Kaucja 2500pln.
 Zachęcam do obejrzenia - w kwestii szczegółów proszę o kontakt telefoniczny - nie odpowiadam na wiadomości SMS.",47 m²,850 zł/miesiąc,3,2 500 zł,5,blok,,,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,miejskie,brak informacji,plastikowe,tak,brak informacji,brak informacji,wielka płyta,piwnica
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-poblizu-awf-co-miejskie-ID4ple1,"Przytulna Kawalerka – w pobliżu AWF, co miejskie","ul. Polarna, Załęska Hałda-Brynów, Katowice, śląskie",1 150 zł,"Wynajmę nowocześnie umeblowana kawalerkę usytuowaną w kamienicy na ul. Pola w Katowicach. Mieszkanie składa się z części mieszkalno- jadalnianej oraz łazienki. Mieszkanie jest po generalnym remoncie, umeblowane i w pełni wyposażone. Budynek znajduje się w doskonałej lokalizacji.

Sprzęt AGD: pralka, lodówka, płyta grzewcza, mikrofalówka z funkcją opiekacza lub piekarnik do wyboru. W części salonowej rozkładana sofa, stolik, stół i krzesła. Internet – światłowód w cenie najmu.

Zwierzęta domowe: TAK (zależy od zwierzaka).
Mieszkanie ma około 18 m2 i ogrzewanie centralne w cenie najmu.

W pobliżu kamienicy mieszczą się sklepy spożywcze (Żabka, Lewiatan, Kaufland, Biedronka, apteka, piekarnia warzywniaki), przystanki autobusowe, bezpłatny parking i Park Kościuszki.

Bardzo dobry dojazd na A4, Trzy Stawy, Muchowiec i do wielu dzielnic Katowic.

Wyższa Szkoła Zarządzania Marketingowego i Języków Obcych - 6 min pieszo (600 m).
AWF - 8 min pieszo (850 m). filia UE
Do ścisłego centrum - 10 min autobusem, 20 min spacerem.

Cena najmu: 1200 zł
+ opłaty administracyjne 300 zł (w tym ogrzewanie, ścieki, śmieci)
+ media wg zużycia (woda oraz prąd wg zużycia)

Wymagana kaucja zwrotna (2000 zł).

Mieszkanie jest WOLNE OD POCZĄTKU MARCA.

Ogłoszenie prywatne - bez prowizji.

Zapraszam do obejrzenia!

Nie jestem zainteresowana kontaktem z agencjami nieruchomości.",18 m²,350 zł/miesiąc,1,2 000 zł,3/4,kamienica,,,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",internet,miejskie,domofon / wideofon,plastikowe,nie,brak informacji,brak informacji,cegła,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-w-nowym-bloku-2-pok-zagorze-ID4pkN9,"Mieszkanie w nowym bloku, 2 pok - Zagórze","ul. Kielecka, Zagórze Południe, Sosnowiec, śląskie",1 850 zł,"W pełni wyposażone 2-pokojowe mieszkanie w nowym budownictwie (2020 rok) gotowe do zamieszkania.
W pełni wyposażona kuchnia i łazienka oraz umeblowane pokoje.
Miejsce parkingowe przed blokiem.
Drugie piętro, pokoje i balkon z widokiem na skwer i aleję spacerową.
Do najbliższego sklepu (Biedronka) - 50m, Żabka na parterze bloku, w odległości do 500m inne sklepy (Lidl, Stokrotka, Kaufland).
W bliskiej odległości: szkoły, przedszkola, przychodnie lekarskie, apteki, pizzerie, restauracje, basen, stok narciarski, lodowisko kryte, hala sportowa, stadion.
Okolica dobrze skomunikowana - przystanek autobusowy i tramwajowy w 3 minuty na nogach.",36 m²,450 zł/miesiąc,2,4 000 zł,2/6,blok,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",brak informacji,miejskie,domofon / wideofon,plastikowe,tak,garaż/miejsce parkingowe,2020,beton,piwnica
https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-z-antresola-ul-mariacka-ID4pl7K,Stylowe mieszkanie z antresolą ul. Mariacka,"ul. Mariacka, Pogoń, Sosnowiec, śląskie",2 100 zł,"Oferuję do najmu okazjonalnego stylowe mieszkanie w kompetnie wyremontowanej kamienicy przy ulicy Mariackiej na Pogoni. Budynek znajduje się w bezpośrenim sąsiedztwie Sądu, co zapewnia jeden z najładniejszych widoków z okna w Sosnowcu, oraz Parku Dietla. Dostęp do budynku ograniczony jest bramą i domofonem. 

Mieszkanie zaplanowane zostało w taki sposób, aby zagwarantować dużą funkcjonalność i wrażenie dużej przestrzeni (wysokość 3,5m), pomimo niewielkiego metrażu (33m2 + 7m2 antresoli). W pełni umeblowane z zastosowaniem wysokiej jakości naturalnych materiałów, utrzymane w stylu Mid Century Modern. Duże okna zapewniają bardzo dobre nasłonecznienie, również w łazience. 

Lokal się z: 
- przestrzennego salonu z aneksem kuchennym z wyspą z hokerami. W razie potrzeby przestrzeń pozwala by wstawić biurko do pracy lub nieduży stół. 
- antresoli 
- przestronnej łazienki z wanną 
- przedpokoju
- garderoby

Dodatkowo mieszkanie wyposażone jest w takie sprzęty i udogodnienia jak: 
- aneks kuchenny: w płytę indukcyją, piekarnik, zmywarkę, lodówkę, czajnik i kolbowy ekspres do kawy, pojemne szafki kuchenne z retro nadstawką
- salon z 50"" TV z funkcą Smart TV, szafę
- garderoba z regałami i wieszkami do przechowywania ubrań oraz z wydzieloną cześcią gospodarczą zawierającą bojler, pralko-suszarkę oraz półki i miejsce na przybory do utrzymania czystości 

Czynsz wynosi 402 zł i zawiera m.in. zaliczkę na wodę, ogrzewanie, wywóz śmieci. Dodatkowo płatne media to internet 50zł i prąd. Kaucja 3000 zł. Najem okazjonalny. Mieszkanie dostępne od zaraz. Ogłoszenie bezpośrednio od właściciela bez prowizji. Zapraszam do kontaktu telefonicznego.",40 m²,402 zł/miesiąc,2,3 000 zł,2/3,kamienica,,,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",internet,gazowe,"teren zamknięty, domofon / wideofon",plastikowe,nie,brak informacji,brak informacji,cegła,brak informacji
https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-ID4pl6a,Mieszkanie do wynajęcia,"ul. Katowicka, Mysłowice, śląskie",1 350 zł,"Do wynajęcia (najem okazjonalny) mieszkanie w Mysłowicach o powierzchni 44m2 na parterze w bloku 4-piętrowym. Mieszkanie w bloku z domofonem.
Mieszkanie dwupokojowe: przestronny pokój dzienny z balkonem, pokój, kuchnia, przedpokój, łazienka + WC. Mieszkanie jest w pełni wyposażone (m.in. narożnik, stół, krzesła, szafy, komody, inne meble, w pełni umeblowana kuchnia, pralka, lodówka), wyremontowane  i gotowe do zamieszkania od zaraz. Przed blokiem duży parking. Bardzo dobra lokalizacja: w pobliżu sklepy (Lidl, Aldi, galeria Quick Park, Media Expert).
Cena wynajmu: 1350 zł + czynsz (ok. 750 zł). Media (gaz, prąd) płatne osobno.",44 m²,,2,2 000 zł,parter/4,blok,,balkon,Obsługa zdalnaZapytaj,do zamieszkania,prywatny,brak informacji,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",brak informacji,miejskie,domofon / wideofon,plastikowe,nie,brak informacji,1983,wielka płyta,"piwnica, tylko dla niepalących, oddzielna kuchnia"
https://www.otodom.pl/pl/oferta/21-listopada-mieszkanie-1-pok-nr-13-ID4p9b4,21 Listopada | mieszkanie 1-pok. nr 13,"ul. 21 Listopada, Czeladź, będziński, śląskie","620,82 zł","Inwestycja zlokalizowana jest przy ulicy 21 Listopada, w sąsiedztwie Parku Alfred, rzeki Brynica i Parku im. Henryka Jordana oraz byłych działek pracowniczych. Jest to przykład wykorzystania istniejącego już obiektu - pozostałości po zespole szkół technicznych. Budynek stanowi połączenie między częścią mieszkalną osiedla a parkiem, dlatego tym bardziej chcemy nadać mu nową rolę.
Nowy projekt zakłada utworzenie 74 lokali mieszkalnych. Najbliższe zabudowanie znajduje się 30 m od strony północnowschodniej. Przy prowadzonej modernizacji terenu, zakłada się ocalenie jak największej ilości zdrowych drzew. Jeśli chodzi o planowane udogodnienia, przewidujemy rozmieszczenie na terenie obiektu komórek lokatorskich, wózkowni/rowerowni, dwóch dźwigów osobowo-towarowych oraz zewnętrznej wiaty śmietnikowej. Inwestycja zakłada przeprowadzenie kompleksowej termomodernizacji obiektu, w tym zainstalowanie odnawialnych źródeł energii (paneli fotowoltaicznych). W sumie przewiduje się wydzielenie 138 miejsc postojowych (chodzi zarówno miejsca parkingowe zewnętrzne, jak i garaże indywidualne). 
Zostanie wyodrębnionych 36 typów lokali mieszkalnych o powierzchni od 26 do 79 m². Każde z mieszkań będzie gotowe do zamieszkania.
Możliwość dojścia do własności mieszkania: po podpisaniu umowy ws. partycypacji w kosztach budowy lokalu mieszkalnego, przy wpłacie partycypacji w wysokości 20% kosztów budowy lokalu mieszkalnego. Sposób obliczenia partycypacji: 1723,09 zł* (stawka za 20% z 1m² powierzchni użytkowej mieszkania) x powierzchnia mieszkania.*to jest szacowana wartość, wynika z umowy zawartej z generalnym wykonawcą i może ulec zmianie w toku prowadzonych prac.","27,74 m²",,1,,1/4,blok,,,Obsługa zdalnatak,do wykończenia,deweloper,brak informacji,brak informacji,"telewizja kablowa, internet, telefon",miejskie,"teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2024,brak informacji,brak informacji
https://www.otodom.pl/pl/oferta/nowy-wyposazony-apartament-katowice-ul-francuska-ID3rouE,Nowy wyposażony apartament Katowice ul.Francuska,"ul. Francuska, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie",3 200 zł,"Osiedle ATAL FRANCUSKA PARKDo wynajęcia luksusowy apartament na prestiżowym zamkniętym i strzeżonym osiedlu Francuska Park. Mieszkanie składa się z salonu połączonego z aneksem kuchennym, dwóch niezależnych pokoi, łazienki z wc, przedpokoju oraz balkonu. Mieszkanie jest w pełni umeblowane. Kuchnia wyposażona jest w sprzęt tj: w zmywarkę, płytę elektryczną, piekarnik, lodówkę, zamrażalnik. Apartament usytuowany jest na 4 piętrze. W cenie najmu stanowisko postojowe w garażu podziemnym+ telewizja.
Najemca otrzymuje indywidualny kod dostępu oraz pilot do bramy garażowej.Doskonała lokalizacja mieszkania-bliska odległość do CH Dolina Trzech Stawów. W najbliższej okolicy znajdują się liczne punkty handlowo - usługowe, biedronka, przychodnie, szkoły, przedszkola, przystanki komunikacji miejskiej, siłownia i spa. Dobry dojazd do centrum Katowic, A4, DTŚ.Miesięczny czynsz najmu to 3200 zł + czynsz w którym zawarta jest zaliczka na media. Kaucja to jednokrotność czynszu. Zapraszam do oglądania","61,5 m²",800 zł/miesiąc,3,3 000 zł,4,apartamentowiec,2024-03-15,balkon,Obsługa zdalnaZapytaj,,prywatny,brak informacji,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2016,brak informacji,brak informacji
